黄芩(炒焦),防风各等分
防风,黄柏各3g,柴胡6g,苍术9g
苍术(泔浸，去皮净)120g,防风6g,白术,白茯苓,白芍药各3g
防风30g,龙胆30g,生地黄(切，焙)60g,沉香(锉)15g,升麻15g
藿香叶7钱,山栀子仁3g,石膏15g,甘草90g,防风120g(焙)
石膏(煅)15g,栀子仁(生)30g,甘草(生)90g,防风(酒拌，微炒香)60g,豨莶草(酒蒸，晒干)120g
升麻,葛根,柴胡,白芍各30g,防风,甘草各15g
炒白芍18g,炒白术9g,煨防风4．5g,陈皮3g,炒黄芩6g,煨葛根3g
生铁落30g,石膏15g,龙齿15g(研),白茯苓(去皮),防风(去芦)各4．5g,玄参,秦艽各3g
升麻,葛根,白芷,jiu黄芩,桔梗各3g,防风,薄荷各1.5g,石膏9g,甘草1.8g,天花粉2.4g,细辛1.2g
钓藤,陈皮(去白),半夏(汤浸，洗七遍，薄切，焙干),麦冬(略用水泡，去心),茯苓,茯神(去木),人参,甘菊花,防风各15g,炙甘草7．5g,生石膏30g
当归梢,赤芍药,生地黄,龙胆草(jiu浸，炒),防风,黄连(炒),黄柏,知母(jiu炒),车前子(炒),泽泻各3g,甘草梢1．5g
升麻3g,人参,白术,白茯苓,陈皮,当归,白芍,麻子仁各1．5g,甘草,防风各0．9g,荆芥穗0．6g,乌梅(去核)1个
升麻,石膏,防风,荆芥,归尾,赤芍,连翘,桔梗,甘草,薄荷,黄芩,灯心
防风(去芦),桂枝(不见火),枳壳(去瓤，微炒),赤芍药,桔梗(去芦，锉，炒)各30g,木香(不见火),人参,槟榔,当归(去芦，jiu浸),川芎,陈皮,甘草(炙)各15g